code,code desc.,service,make,car name,car code,model name,year start,year end,group,short name,qs code,part code,price,duracao,description
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,AXI12,AXIO,2012,2018,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,AYG11,AYGO,2011,2022,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,BEL05,BELTA,2005,2016,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,CAMI03,CAMI,2003,2006,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,CARI95,CARINA,1995,2001,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,CON88,CONQUEST ,1988,1996,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,COR02,COROLLA,2002,2006,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,COR88,COROLLA,1988,1991,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,COR96,COROLLA,1996,2000,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,CRE89,CRESCIDA ,1989,1992,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,ESTI99,ESTIMA,1999,2005,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,ETI12,ETIOS,2012,2023,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,FIE01,FIESTA,2001,2008,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,FIL06,FILDER,2006,2012,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,FUN99,FUNCARGO,1999,2005,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,IST02,IST,2002,2007,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,IST07,IST,2007,2016,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,PAS04,PASSO,2004,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,PLAT99,PLATZ,1999,2005,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,PORT04,PORTE,2004,2012,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,RAC05,RACTIS,2005,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,RAC051.3,RACTIS,2005,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,RAC054W,RACTIS 4WD,2005,2010,PNEU,TY,1,QSLE-TY001,800,30,
QSLE,QS LIGEIRO ECONOMIC,Alinhamento de Direção,TOY,TOYOTA,RAC12,RACTIS,2012,2019,PNEU,TY,1,QSLE-TY001,800,30,
